challengename	ION_MODE	RT_sec	RT_min	PRECURSOR_MZ	nPeaks
challenge-001	POSITIVE	828	13.8	273.1	14
challenge-002	POSITIVE	1158	19.3	339.2	22
challenge-003	POSITIVE	798	13.3	312.2	7
challenge-004	POSITIVE	762	12.7	271.1	19
challenge-005	POSITIVE	714	11.9	271.1	16
challenge-006	POSITIVE	786	13.1	271.1	20
challenge-007	POSITIVE	846	14.1	271.1	16
challenge-008	POSITIVE	816	13.6	271.1	24
challenge-009	NEGATIVE	1134	18.9	337.1	9
challenge-010	POSITIVE	108	1.8	223.2	8
challenge-011	POSITIVE	588	9.8	280.2	12
challenge-012	POSITIVE	348	5.8	302.1	31
challenge-013	POSITIVE	744	12.4	285.1	23
challenge-014	NEGATIVE	732	12.2	269.0	48
challenge-015	NEGATIVE	816	13.6	269.0	30
challenge-016	POSITIVE	894	14.9	371.2	25
challenge-017	NEGATIVE	306	5.1	257.1	7
challenge-018	POSITIVE	696	11.6	383.2	19
challenge-019	POSITIVE	108	1.8	176.1	8
challenge-020	POSITIVE	348	5.8	220.1	19
challenge-021	POSITIVE	186	3.1	217.1	24
challenge-022	POSITIVE	1506	25.1	381.2	30
challenge-023	POSITIVE	582	9.7	314.2	8
challenge-024	POSITIVE	108	1.8	166.1	10
challenge-025	NEGATIVE	108	1.8	266.1	9
challenge-026	NEGATIVE	1218	20.3	367.1	15
challenge-027	POSITIVE	228	3.8	370.2	17
challenge-028	POSITIVE	NA	NA	217.1	5
challenge-029	POSITIVE	552	9.2	577.1	10
challenge-030	NEGATIVE	726	12.1	289.1	14
challenge-031	NEGATIVE	738	12.3	395.1	24
challenge-032	POSITIVE	846	14.1	273.1	12
challenge-033	POSITIVE	438	7.3	361.1	34
challenge-034	POSITIVE	522	8.7	347.1	13
challenge-035	POSITIVE	1404	23.4	391.2	12
challenge-036	POSITIVE	918	15.3	324.1	14
challenge-037	POSITIVE	1368	22.8	399.2	19
challenge-038	NEGATIVE	1164	19.4	337.1	30
challenge-039	NEGATIVE	1086	18.1	323.1	5
challenge-040	NEGATIVE	528	8.8	577.1	15
challenge-041	POSITIVE	1056	17.6	366.2	9
challenge-042	POSITIVE	108	1.8	231.1	14
challenge-043	POSITIVE	630	10.5	295.1	12
challenge-044	POSITIVE	108	1.8	154.1	5
challenge-045	POSITIVE	168	2.8	450.2	14
